GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
note-service,mediscreen.note.utility,DataInit,4,112,1,3,1,23,1,3,0,2
note-service,mediscreen.note.exception,EntityNotFoundException,0,4,0,0,0,2,0,1,0,1
note-service,mediscreen.note.controller,NoteController,0,60,0,0,0,11,0,8,0,8
note-service,mediscreen.note,NoteApplication,5,3,0,0,2,1,1,1,1,1
note-service,mediscreen.note.dto,PatientAllNoteDto,0,8,0,0,0,3,0,1,0,1
note-service,mediscreen.note.dto,NoteDto,0,18,0,0,0,7,0,2,0,2
note-service,mediscreen.note.service,NoteService,0,79,0,2,0,14,0,8,0,7
note-service,mediscreen.note.config,MongoConfig,0,21,0,0,0,8,0,4,0,4
note-service,mediscreen.note.entity,Note,0,9,0,0,0,4,0,1,0,1
